time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,200,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,28.564379930496216,77611,5938
no,200,196.8401351351352,89.43108108108109,322.36,43.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,41.57773613929749,77611,5938
no,200,196.8401351351352,89.43108108108109,318.5499999999999,43.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,41.04958271980285,77611,5938
no,200,196.8401351351352,89.43108108108109,327.88999999999993,43.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,41.14309978485107,77611,5938
no,200,196.8401351351352,89.43108108108109,314.56999999999994,43.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,43.628060102462776,77611,5938
no,200,196.8401351351352,89.43108108108109,310.85,43.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,46.07556414604187,77611,5938
no,200,196.8401351351352,89.43108108108109,319.97,43.00000000000002,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,10649.235654354095,42.890427827835076,77611,5938
no,200,196.8401351351352,89.43108108108109,330.14999999999986,43.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,10649.235654354095,40.40484237670898,77611,5938
no,200,183.23629629629625,85.0222222222222,331.01,38.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,10649.235654354095,39.641994953155525,77611,5938
no,200,196.8401351351352,89.43108108108109,326.2399999999999,42.99999999999999,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,10649.235654354095,38.3637285232544,77611,5938
no,200,196.8401351351352,89.43108108108109,317.69999999999993,43.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,10649.235654354095,42.19231653213501,77611,5938
no,200,196.8401351351352,89.43108108108109,314.67999999999995,43.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,10649.235654354095,44.78730392456055,77611,5938
no,200,196.8401351351352,89.43108108108109,323.16,43.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,10649.235654354095,48.546028852462776,77611,5938
no,200,196.8401351351352,89.43108108108109,330.14999999999986,43.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,10649.235654354095,44.2170774936676,77611,5938
no,200,196.8401351351352,89.43108108108109,326.2399999999999,42.99999999999999,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,10649.235654354095,38.53796195983887,77611,5938
no,200,196.8401351351352,89.43108108108109,335.81999999999994,43.00000000000002,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,10649.235654354095,46.929911136627204,77611,5938
no,200,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,10649.235654354095,29.93139100074768,77611,5938
no,200,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,10649.235654354095,31.42070960998535,77611,5938
no,200,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,10649.235654354095,31.411327123641968,77611,5938
no,200,196.8401351351352,89.43108108108109,318.47,43.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,10649.235654354095,45.76535201072693,77611,5938
no,200,196.8401351351352,89.43108108108109,314.67999999999995,43.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,10649.235654354095,46.006158113479614,77611,5938
no,200,196.8401351351352,89.43108108108109,323.96,43.0,266.50625,273.89533615830493,315.028125,164.5875588295919,10649.235654354095,45.06024360656738,77611,5938
no,300,299.8190361445784,169.06265060240972,274.16,85.00000000000001,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,43.94829559326172,77611,5938
