time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
2,0,1.0,60.11750000000001,1.9087499999999409,360.47,83.16175675675676,7.583378378378379,347.0135185185188,4.0,1.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,28422.463067770004,1.2690651416778564,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,369.57,82.84300000000007,5.748874999999984,350.96909090909094,1.0,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,28422.463067770004,1.2705211639404297,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,380.115,83.16175675675676,7.583378378378379,425.23,4.0,1.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,28422.463067770004,1.264911413192749,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,376.4150000000001,83.16175675675676,7.583378378378379,331.6748484848485,4.0,1.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,28422.463067770004,1.1952431201934814,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,376.4150000000001,83.16175675675676,7.583378378378379,415.79875,4.0,1.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,28422.463067770004,1.1977529525756836,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,367.3,83.16175675675676,7.583378378378379,348.9169411764707,4.0,1.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,28422.463067770004,1.2543714046478271,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,363.53,82.84300000000007,5.748874999999984,379.981,1.0,1.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,28422.463067770004,1.198791265487671,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,369.57,82.84300000000007,5.748874999999984,350.96909090909094,1.0,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,28422.463067770004,1.242281198501587,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,380.115,83.16175675675676,7.583378378378379,419.37,4.0,1.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,28422.463067770004,1.2212774753570557,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,376.4150000000001,83.16175675675676,7.583378378378379,348.9169411764707,4.0,1.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,28422.463067770004,1.1912696361541748,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,388.4173684210526,82.84300000000007,5.748874999999984,363.21240000000006,1.0,1.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,28422.463067770004,1.2159557342529297,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,28422.463067770004,0.4070925712585449,16417,1814,no_sol,no_sol,no_sol,no_sol
2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,28422.463067770004,0.0120017528533935,16417,1814,no_sol,no_sol,no_sol,no_sol
2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,28422.463067770004,0.0120027065277099,16417,1814,no_sol,no_sol,no_sol,no_sol
2,0,1.0,60.11750000000001,1.9087499999999409,368.07,83.16175675675676,7.583378378378379,348.9169411764707,4.0,1.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,28422.463067770004,1.6577098369598389,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,364.28,82.84300000000007,5.748874999999984,350.96909090909094,1.0,1.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,28422.463067770004,1.2360267639160156,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,368.366,82.84300000000007,5.748874999999984,350.96909090909094,1.0,1.0,266.50625,273.8953361583049,315.028125,164.58755882959193,28422.463067770004,1.2154855728149414,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
